seed,prob,success,tx,rx
0,0.1,8,1,7
0,0.30000000000000004,8,1,7
0,0.5000000000000001,100,53,380
0,0.7000000000000001,99,66,460
0,0.9000000000000001,100,89,610
1,0.1,6,1,5
1,0.30000000000000004,10,2,12
1,0.5000000000000001,98,51,340
1,0.7000000000000001,99,68,446
1,0.9000000000000001,100,90,595
2,0.1,9,2,11
2,0.30000000000000004,50,17,123
2,0.5000000000000001,61,30,200
2,0.7000000000000001,99,71,483
2,0.9000000000000001,100,91,596
3,0.1,5,1,4
3,0.30000000000000004,5,1,4
3,0.5000000000000001,5,1,4
3,0.7000000000000001,99,72,482
3,0.9000000000000001,100,94,621
4,0.1,8,2,9
4,0.30000000000000004,16,4,25
4,0.5000000000000001,63,32,215
4,0.7000000000000001,87,58,391
4,0.9000000000000001,100,87,570
